Númer Dýrs,Nafn Dýrs,Fræðiheiti,Afkvæmi min,Afkvæmi avg,Afkvæmi max,Líftími min,Líftími avg,Líftími max,Fætur,Þyngd min,Þyngd avg,Þyngd max,Lengd min,Lengd avg,Lengd max,Vísun án by,Url á upplýsingar um mynd,Url á mynd
65,Stóra húsflugan,Musca domestica,75,,150,"0,02",,"0,16",6,"0,000002",,"0,000045","0,006",,"0,007","USDAgov - https://www.flickr.com/photos/usdagov/8674435033/sizes/o/in/photostream/, Public Domain",https://commons.wikimedia.org/w/index.php?curid=25727555,https://upload.wikimedia.org/wikipedia/commons/1/14/Common_house_fly%2C_Musca_domestica.jpg
66,Dvergtígurkötturinn,Prionailurus bengalensis,2,,3,,13,,4,"0,5",,"3,8","0,55",,"0,99","Shan2797 - Own work, CC BY-SA 4.0",https://commons.wikimedia.org/w/index.php?curid=49384952,https://upload.wikimedia.org/wikipedia/commons/0/02/Leopard_cat_India.jpg
67,Snæuglan,Bubo scandiacus,3,,11,9,,10,2,"1,6",,3,"0,5",,"0,7","Jongsun Lee - Imported from 500px (archived version) by the Archive Team. (detail page), CC BY 3.0",https://commons.wikimedia.org/w/index.php?curid=71361042,https://upload.wikimedia.org/wikipedia/commons/6/6d/Snowy_Owl_%28240866707%29.jpeg
68,Gárinn,Melopsittacus undulatus,4,,6,5,,8,2,"0,03",,"0,04",,"0,18",,"Benjamint444 - Own work, GFDL 1.2",https://commons.wikimedia.org/w/index.php?curid=21993737,https://upload.wikimedia.org/wikipedia/commons/e/ec/Budgerigar-strzelecki-qld.jpg
69,Vampíran,Desmodus rotundus,,1,,,12,,4,"0,025",,"0,045",,"0,09",,"Uwe Schmidt - Werk wurde mir vom Autor persönlich zur Nutzung überlassen., CC BY-SA 4.0",https://commons.wikimedia.org/w/index.php?curid=36602827,https://commons.wikimedia.org/w/index.php?curid=36602827#/media/File:Desmo-boden.tif
70,Klumbudragan,Caretta caretta,,112,,47,,67,4,80,,200,"0,7",,1,"Strobilomyces - Own work, CC BY-SA 3.0",https://commons.wikimedia.org/w/index.php?curid=719666,https://upload.wikimedia.org/wikipedia/commons/5/53/Caretta_caretta_060417w2.jpg
71,Kýrin,Bos taurus,,1,,,25,,4,500,,1.000,"1,8",,2,"Keith Weller/USDA - www.ars.usda.gov: Image Number K5176-3, Public Domain",https://commons.wikimedia.org/w/index.php?curid=808501,https://upload.wikimedia.org/wikipedia/commons/0/0c/Cow_female_black_white.jpg
72,Húskötturinn,Felis catus,2,,5,7,,13,4,4,,5,"0,7",,"0,8",Haukur Barri – Public Domain,,https://upload.wikimedia.org/wikipedia/commons/0/0b/Cat_poster_1.jpg
73,Heimskautarefurinn,vulpes lagopus,,5,,6,,10,4,3,,"4,5","0,7",,1,"Michael Haferkamp - eigin skrá, CC BY-SA 3.0",https://commons.wikimedia.org/w/index.php?curid=207528,https://upload.wikimedia.org/wikipedia/commons/2/2f/Arcticfox-3.jpg
74,Evrópska ljósmóðurkartan,Alytes obstetricans,,150,,3,,5,4,"0,01",,"0,08",,"0,05",,"Christian Fischer, CC BY-SA 3.0",https://commons.wikimedia.org/w/index.php?curid=7344176,https://upload.wikimedia.org/wikipedia/commons/4/43/AlytesObstetricansJuv.jpg
75,Elgurinn,Alces alces,1,,2,15,,25,4,300,,700,"2,4",,"3,1","Ryan Hagerty - http://www.public-domain-image.com/full-image/fauna-animals-public-domain-images-pictures/deers-public-domain-images-pictures/moose-and-elk-public-domain-images-pictures/a-male-moose-takes-a-rest-in-a-field-during-a-light-rainshower.jpg-public-domain-photo.html, Public Domain",https://commons.wikimedia.org/w/index.php?curid=19998267,https://upload.wikimedia.org/wikipedia/commons/2/23/Male_Moose.jpg
76,Ljónið,Panthera leo,2,,4,10,,15,4,,250,,,3,,"Kevin Pluck - Flickr: The King., CC BY 2.0",https://commons.wikimedia.org/w/index.php?curid=755560,https://upload.wikimedia.org/wikipedia/commons/7/73/Lion_waiting_in_Namibia.jpg
77,Nílarkrókódíllinn,Crocodylus niloticus,25,,80,70,,100,4,220,,415,3,,5,"Sarah McCans - https://www.flickr.com/photos/sarah_mccans/290053263/, CC BY 2.0",https://commons.wikimedia.org/w/index.php?curid=7960247,https://upload.wikimedia.org/wikipedia/commons/1/18/Nilecroc100.jpg
78,Langfrýnan,Varanus giganteus,6,,12,,20,,4,,15,,"1,7",,"2,5","Bernard DUPONT from FRANCE - Perentie (Varanus giganteus), CC BY-SA 2.0",https://commons.wikimedia.org/w/index.php?curid=40773621,https://upload.wikimedia.org/wikipedia/commons/6/67/Perentie_%28Varanus_giganteus%29_%2810244734736%29.jpg
79,Evrópski broddgölturinn,Erinaceus europaeus,,3,,3,,10,4,1,,2,"0,2",,"0,3","Michael Gäbler, CC BY-SA 3.0",https://commons.wikimedia.org/w/index.php?curid=25702847,https://upload.wikimedia.org/wikipedia/commons/c/cb/Erinaceus_europaeus_%28Linnaeus%2C_1758%29.jpg
80,Herkúlesarbjallan,Dynastes hercules,30,,80,2,,3,6,"0,01",,"0,04","0,05",,"0,11","Didier Descouens - Own work, CC BY-SA 4.0",https://commons.wikimedia.org/w/index.php?curid=16140900,https://upload.wikimedia.org/wikipedia/commons/0/0e/Dynastes_hercules_ecuatorianus_MHNT.jpg
81,Keisaramörgæsin,Aptenodytes forsteri,,1,,,20,,2,,30,,,"1,15",,Denis Luyten - Public Domain,https://commons.wikimedia.org/w/index.php?curid=76147073,https://upload.wikimedia.org/wikipedia/commons/4/4f/2007_Snow-Hill-Island_Luyten-De-Hauwere-Emperor-Penguin-56.jpg
82,Krían,Sterna paradisaea,1,,3,,30,,2,"0,086",,"0,127","0,33",,"0,36","pjt56 --- If you use the picture outside Wikipedia I would appreciate a short e-mail to pjt56@gmx.net - Own work, CC BY-SA 3.0",https://commons.wikimedia.org/w/index.php?curid=16328212,https://upload.wikimedia.org/wikipedia/commons/2/2c/Sterna_paradisaea-pjt1.jpg
83,Kragaeðlan,Chlamydosaurus kingii,,8,,,10,,4,"0,4",,"0,87",,"0,85",,"Matt from Melbourne, Australia - Frill-necked Lizard (Chlamydosaurus kingii)Uploaded by SunOfErat, CC BY 2.0",https://commons.wikimedia.org/w/index.php?curid=27543058,https://upload.wikimedia.org/wikipedia/commons/f/f1/Frill-necked_Lizard_%28Chlamydosaurus_kingii%29_%288692622586%29.jpg
84,Tunglfiskurinn,Mola mola,,300.000.000,,,10,,0,247,,2.000,,"2,5",,"mmmmngai@rogers.com - Portugal-Lisboa-Oceanário de Lisboa -P1170757, CC BY-SA 2.0",https://commons.wikimedia.org/w/index.php?curid=47853769,https://upload.wikimedia.org/wikipedia/commons/e/ee/Portugal-Lisboa-Ocean%C3%A1rio_de_Lisboa_-P1170757_%2825260836764%29.jpg
85,Kyrrahafs kolkrabbinn,Enteroctopus dofleini,120.000,,400.000,3,,5,8,15,,50,4,,6,"Bachrach44 - Enteroctopus dofleini in aquarium crop.jpg, CC0",https://commons.wikimedia.org/w/index.php?curid=27656354,https://upload.wikimedia.org/wikipedia/commons/5/52/Enteroctopus_dofleini_in_aquarium_rotated.jpg
86,Spænska moskumoldvarpan,Galemys pyrenaicus,3,,4,3,,4,4,"0,03",,"0,08","0,23",,"0,3","David Perez - Own work, CC BY 3.0",https://commons.wikimedia.org/w/index.php?curid=7898248,https://upload.wikimedia.org/wikipedia/commons/3/31/Galemys_pyrenaicus_01_by-dpc.jpg
87,Grátranan,Grus grus,,2,,30,,40,2,3,,"6,1",1,,"1,3","Frank Liebig - Archiv Frank Liebig, CC BY-SA 3.0",https://commons.wikimedia.org/w/index.php?curid=56812600,https://upload.wikimedia.org/wikipedia/commons/9/91/Erster_Kranich_2017_EO5P0211-2.jpg
88,Stökkhjörturinn,Antidorcas marsupialis,,1,,,10,,4,27,,42,"1,2",,"1,5","Yathin S Krishnappa - Own work, CC BY-SA 3.0",https://commons.wikimedia.org/w/index.php?curid=24224663,https://upload.wikimedia.org/wikipedia/commons/8/89/Antidorcas_marsupialis%2C_male_%28Etosha%2C_2012%29.jpg
89,Græni og svarti eiturörva-froskurinn,Dendrobates auratus,,6,,5,,12,4,,"0,028",,"0,01",,"0,04","Myself (Adrian Pingstone). - Own work, taken with a Nikon D5300 DSLR and Nikon 18-200 mm lens., Public Domain",https://commons.wikimedia.org/w/index.php?curid=79491026,https://upload.wikimedia.org/wikipedia/commons/e/e2/Green_and_black_poison_dart_frog_at_Slimbridge_Wetland_Centre%2C_Gloucestershire%2C_England_arp.jpg
90,Egypski hrægammurinn,Neophron percnopterus,,2,,5,,21,2,,"1,9",,"0,58",,"0,7","Carlos Delgado, CC BY-SA 3.0",https://commons.wikimedia.org/w/index.php?curid=25495449,https://upload.wikimedia.org/wikipedia/commons/2/21/Neophron_percnopterus_-_01.jpg
91,Emúinn,Dromaius novaehollandiae,5,,15,5,,10,2,18,,60,"1,5",,"1,9","JJ Harrison (https://www.jjharrison.com.au/) - Own work, CC BY-SA 4.0",https://commons.wikimedia.org/w/index.php?curid=92381514,https://upload.wikimedia.org/wikipedia/commons/9/9d/Emu_1_-_Tidbinbilla.jpg
92,Vatnaköngulóin,Argyroneta aquatica,30,,70,,2,,8,"0,000006",,"0,00001","0,008",,"0,015","Norbert Schuller Baupi - Own work, CC BY-SA 3.0",https://commons.wikimedia.org/w/index.php?curid=5660876,https://upload.wikimedia.org/wikipedia/commons/0/04/Argyroteta_aquatica_M%C3%A4nnchen.jpg
93,Rauðhumlan,Bombus hypnorum,6,,16,"0,4",,5,6,"0,00011",,"0,0002","0,011",,"0,2","Orangeaurochs from Sandy, Bedfordshire, United Kingdom",https://upload.wikimedia.org/wikipedia/commons/4/4b/Tree_bumblebee_%28Bombus_hypnorum%29_on_scabious%2C_Sandy%2C_Bedfordshire_%287742422588%29.jpg,https://upload.wikimedia.org/wikipedia/commons/4/4b/Tree_bumblebee_%28Bombus_hypnorum%29_on_scabious%2C_Sandy%2C_Bedfordshire_%287742422588%29.jpg
94,Svartbakurinn,Larus marinus,,3,,,27,,2,"0,75",,"2,3","0,64",,"0,79","Per Harald Olsen from Trondheim, Norway -  Creative Commons Attribution 2.0 Generic",https://upload.wikimedia.org/wikipedia/commons/a/ad/Great_black-backed_gull_%28Larus_marinus%29_Norwegian_Svartbak._%2849529322937%29.jpg,https://upload.wikimedia.org/wikipedia/commons/a/ad/Great_black-backed_gull_%28Larus_marinus%29_Norwegian_Svartbak._%2849529322937%29.jpg
95,Ufsinn,Pollachius virens,500.000,,9.000.000,16,,20,0,"1,8",,"6,8","0,28",,"1,3","Tino Strauss – Own work, Creative Commons Attribution-Share Alike 3.0 Unported, 2.5 Generic, 2.0 Generic and 1.0 Generic",https://upload.wikimedia.org/wikipedia/commons/a/aa/Pollachius_virens_01.jpg,https://upload.wikimedia.org/wikipedia/commons/a/aa/Pollachius_virens_01.jpg
96,Skeifukrabbinn,Limulus polyphemus,15.000,,64.000,20,,40,10,"1,8",,"2,6","0,3",,"0,6","domdomegg - Own work, CC BY 4.0",https://commons.wikimedia.org/w/index.php?curid=39946814,https://upload.wikimedia.org/wikipedia/commons/9/9e/Atlantic_horseshoe_crab_%28Limulus_polyphemus%29_%285%29.jpg
97,Kattlemúrinn,Lemur catta,1,,2,15,,30,4,,"2,2",,"0,94",,"1,09","Alex Dunkel (Maky) - Own work, CC BY 3.0",https://commons.wikimedia.org/w/index.php?curid=8621909,https://upload.wikimedia.org/wikipedia/commons/f/f5/Lemur_catta_001.jpg
98,Kasúinn,Casuarius casuarius,3,,4,20,,40,2,17,,70,"1,5",,"1,8","Daiju Azuma - Own work, CC BY-SA 2.5",https://commons.wikimedia.org/w/index.php?curid=1236984,https://upload.wikimedia.org/wikipedia/commons/2/2c/Casuarius_casuarius.jpg
99,Kóalabjörninn,Phascolarctos cinereus,,1,,13,,18,4,4,,15,"0,6",,"0,85","Diliff - Own work, CC BY-SA 3.0",https://commons.wikimedia.org/w/index.php?curid=361837,https://upload.wikimedia.org/wikipedia/commons/4/49/Koala_climbing_tree.jpg
100,Rauðkengúran,Macropus rufus,,1,,16,,23,4,18,,90,"1,5",,"2,8","Rileypie - PD from en.Wikipedia, Public Domain",https://commons.wikimedia.org/w/index.php?curid=834523
101,Svartloppugibboninn,Hylobates agilis,,1,,,25,,4,4,,6,"0,44",,"0,635","Julielangford - Own work, CC BY-SA 3.0", https://commons.wikimedia.org/w/index.php?curid=7428342
102,Klekkasvettan,Thamnolaea cinnamomeiventris,2,,4,3,,10,2,"0,041",,"0,051","0,19",,"0,21","Alandmanson - Own work, CC BY 4.0", https://commons.wikimedia.org/w/index.php?curid=62814699
103,Brúni kívínn,Apteryx australis,,1,,20,,40,2,"2,8",,"3,5","0,45",,"0,54",Glen Fergus - Own work, CC BY-SA 2.5", https://commons.wikimedia.org/w/index.php?curid=3509003
104,Gresjuhreysturdýrið,Manis temminckii,,1,,,20,,4,7,,18,"0,4",,"0,7","U.S. Fish and Wildlife Service Headquarters - Manis temminckii, CC BY 2.0", https://commons.wikimedia.org/w/index.php?curid=56589235
105,Skrúfugeitin,Capra falconeri,1,,2,11,,13,4,32,,110,"1,4",,"1,8","Rufus46 - Own work, CC BY-SA 3.0", https://commons.wikimedia.org/w/index.php?curid=35515177
106,Meivan,Ameiva ameiva,,6,,2,,5,4,,"0,068","0,12",,"0,13","Bernard DUPONT from FRANCE, CC BY-SA 2.0", https://creativecommons.org/licenses/by-sa/2.0
107,Sólblómakrossfiskurinn,Pycnopodia helianthoides,,2.500.000,,,21,,"16-24",,5,,,1,,"Ed Bierman from CA, usa - Sunflower star, CC BY 2.0", https://commons.wikimedia.org/w/index.php?curid=75957724
108,Pátittlingur,Passerina ciris,3,,4,,10,,2,"0,013",,"0,019","0,12",,"0,14","Dan Pancamo - Flickr: Painted Bunting, CC BY-SA 2.0", https://commons.wikimedia.org/w/index.php?curid=15088550
